claimskg_author;type;kata_author
Scott Bruun;;
Barney Bishop;;
Chris Larson;;
Gloria Romero Roses;;
Kendall Jones;;
VoteVets.org;;
George LeMieux;;
Mo Brooks;;
Sacramento Bee Editorial Board;;
Brad Rockwell;;
Jamie Samons;;
Lenar Whitney;;
Lamar Smith;;
Elaine Boyer;;
Sean Duffy;;
Chris Chocola;;
Consumers for Smart Solar;;
Dan Boren;;
Tammy Baldwin;;
Sharron Angle;;
LearnProgress.org;;
Bonnie Reiss;;
Christopher Monckton;;
Gordon Challstrom;;
Joni Ernst;;
Solar Energy Fairness;;
David Porter;;
Crossroads GPS;;
Basil Seggos;;
Orrin Hatch;;
Freedom Daily;;
Ron Paul;;
Forecast the Facts;;
Mary Landrieu;;
Kenneth Block;;
Free Market Florida;;
Cliff Stearns;;
Gerry Connolly;;
Curtis Foltz;;
Mark Hass;;
Greg Walden;;
Patrick Moore;;
Keith Olbermann;;
Tim Grendell;;
Stephen Kretzmann;;
John Loughlin;;
Pew Environment Group;;
James Rockall;;
Jon Brien;;
Donna Campbell;;
Darrell Issa;;
Lars Larson;;
American Energy Alliance;;
Ted Strickland;;
Steve Lonegan;;
Tom Perriello;;
North Carolina Democratic Party;;
New Jersey Sierra Club;;
Mike Fasano;;
Gavin Newsom;;
Todd Staples;;
Shelley Moore Capito;;
Rodney Frelinghuysen;;
Scott Wagner;;
Metropolitan North Georgia Water Planning District;;
Troy Fraser;;
Mark Daniels;;
Alan Grayson;;
Eugene Robinson;;
Roy Cooper;;
Steve Troxler;;
Florida Wildlife Federation;;
Steve Scalise;;
Nathan Deal;;
Environmental Justice League of R.I;;
Maureen Dowd;;
Robert Hagan;;
Bart Stupak;;
Jim Bridenstine;;
Frank Lautenberg;;
Richard Durbin;;
Bill Johnson;;
Robert Henneke;;
Lawrence O'Donnell;;
Chris Abele;;
Rick North;;
Ryan Sitton;;
Tom Cotton;;
Austin Scott;;
James Carville;;
Fred Upton;;
Drew Springer;;
Michael Williams;;
Mike Dovilla;;
Miami-Dade County;;
Rob Cornilles;;
