feature;mi_score
among;0.009934519681711197
of their;0.009926434798894143
local;0.00992331052994409
fact;0.009902580648646702
2009;0.009873395616587666
that has;0.009849589319521975
it has;0.009841170262658112
in america;0.009825803964608687
not have;0.009814056087899443
graduation;0.009807396311071716
the lowest;0.00980417471545816
family;0.009765680550245034
last year;0.009715343595616682
in new;0.009711830859222866
the only;0.009689457985086036
senate;0.009672884512528537
benefits;0.009589635416844954
half of;0.009551081130303743
does;0.009547732827836903
there are;0.009528539328715823
are not;0.009525065401254244
gone;0.009510648672567132
could;0.009498784275149247
number of;0.009462019409450089
of all;0.009449236870189536
the top;0.00944644296342244
pension;0.009413923697891926
republicans;0.009412710130078248
has the;0.009281185807522433
in the last;0.009273281001849298
home;0.009201448241950093
got;0.009174473558617835
30;0.009161602167577176
18;0.00915043819748993
in wisconsin;0.00912903217929202
there is;0.009097341617377224
union;0.009097341617377224
this year;0.009087213824311432
like;0.009037045890029911
away;0.009026485303064574
took office;0.008976649732204939
middle;0.008903935014596704
many;0.008873530222811557
made;0.008862641178510836
against;0.008822444966836927
security;0.008811251297051867
to pay;0.008776700219409973
teacher;0.008772546344409337
own;0.008760042247575896
one of the;0.008725396179907821
kids;0.008713252382844351
perry;0.008699118156984204
would be;0.008697209328326452
the economy;0.008685933875916886
than any;0.008674279831271302
if you;0.00864782284670407
going to;0.008617162096437203
in this;0.008595180113466404
it was;0.008573656404823759
university of;0.00854860719120195
department of;0.008535423838874658
support;0.008522853502761546
of texas;0.00849952479586721
these;0.008446860575462435
that we;0.00843455838472867
state in;0.008410310670144944
president barack;0.008377869897785576
president barack obama;0.008377869897785576
same;0.00831266919793948
medicaid;0.008310226933155909
president obama;0.008289646565604127
100;0.008260374922105015
in state;0.008246630941113177
used;0.008211082507486098
are in;0.008184741767101638
will be;0.008168424655948105
families;0.008159100068931793
as much;0.008124357811392601
trade;0.008124357811392601
funds;0.008099582745069205
second;0.008097980118975591
social;0.008072218875285824
public school;0.008048648308866587
us;0.008009531415774745
without;0.007985987066541484
already;0.007959984054649587
500;0.007921732398213905
romney;0.007921732398213905
south;0.00787815183541984
rick perry;0.007873483520751784
than we;0.00785204873651815
donald;0.007848368543823672
donald trump;0.007848368543823672
years ago;0.007847300248624758
property;0.007834582769615003
small;0.007821702150076939
the same;0.007810240740695378
they are;0.007796372022167078
have to;0.007773891174307058
went;0.00776159957497277
companies;0.007758851545423854
bottom;0.007740834010757921
any other;0.007708934160121285
illegal;0.007696569917775618
10 years;0.007660486857135648
bush;0.0076503352671508686
put;0.0076503352671508686
level;0.007647339370818632
below;0.007568194506320902
month;0.007560685472078112
because of;0.007555686333704034
has not;0.007533222441168257
third;0.0075219166494688815
help;0.007513588598184981
child;0.007465202921515942
state in the;0.0074588684112189205
insurance;0.007458624259484705
revenue;0.007420536075641762
the stimulus;0.007420536075641762
during the;0.007408169215086444
worker;0.007408169215086444
free;0.007399620680126114
is not;0.007396748455102845
dollar;0.00739653482549495
african;0.007311662508015342
new york;0.007310413739553866
york;0.007310413739553866
job growth;0.007310413739553865
wants;0.00726372874759385
13;0.007246885913145004
single;0.007246885913145004
with the;0.007246885913145004
being;0.007221315051610711
passed;0.007221050177526549
voted to;0.007221050177526549
the number;0.007208965367209894
eight;0.007197018106569666
millions of;0.007197018106569666
congress;0.007189592813517711
back;0.007186999420893498
60;0.007172905911857486
wages;0.00715986749764165
create;0.007158184845661959
four years;0.007134281208675703
left;0.007134281208675703
50 percent;0.007132866348409863
that the;0.007132866348409863
making;0.007121688900876567
the largest;0.007120784520438307
recent;0.00711539606529518
her;0.007110043689875639
increase in;0.007109350737020537
of dollars;0.007096240277169413
the university;0.007071303652016045
around;0.0070603048824738664
first time;0.007020634465718014
the first time;0.007020634465718014
since the;0.007012821222228497
would have;0.007008940254854089
into the;0.006959224812070558
give;0.006932567591727971
cannot;0.006919992556407837
in the world;0.006882757491329864
next;0.006872604077184258
clinton;0.006871417168352321
for every;0.006858954485662936
lower;0.006858403287126181
social security;0.006845149817749668
of state;0.0068328429278088805
the bottom;0.006801954581017872
the governor;0.006794958473769024
rick scott;0.006785299106524808
women;0.0067713661728959346
of education;0.006770238214360468
total;0.006770238214360468
bargaining;0.006758380848898767
to do;0.006757764073469426
where;0.006746342393911078
decade;0.006724467038065302
creation;0.006713255500833606
