author,type
Cory Booker,Democrat
Mark Udall,Democrat
Angus King,Political
Richard Clarke,Democrat
Kendrick Meek,Democrat
David Stockman,Republican
Jack Hanna,Person
Michael Adams,Person
Daniel McKee,Democrat
David Gregory,Person
Ralph Mollis,Democrat
Joni Ernst,Republican
Donna Brazile,Democrat
Rahm Emanuel,Democrat
Rebecca Kleefisch,Republican
Jorge Elorza,Democrat
Jim DeMint,Republican
Adam Kinzinger,Republican
Bob Kincaid,Democrat
John Chiang,Democrat
"Vincent """"Buddy"""" Cianci",Political
American Petroleum Institute,Organization
Nicholas Mattiello,Democrat
Chris Ruddy,Person
Committee of Austin's Children PAC,Organization
Edward Snowden,Political
Brit Hume,Person
Anne Nolan,Organization
Atlanta Sports Council,Organization
Eric Fehrnstrom,Republican
Gary George,Democrat
Bruce Braley,Democrat
Joe Manchin,Democrat
Daniel Harrop,Republican
Jennifer Granholm,Democrat
William G. Batchelder,Republican
Lars Larson,Person
Bill Maher,Political
Sean Duffy,Republican
Sameh Shoukry,Political
League of Women Voters of the Austin Area,Organization
Sylvia Romo,Democrat
Mike Rogers,Republican
Ernest Almonte,Political
James O'Neil,Democrat
Julie Pace,Journalist
Gary Chiusano,Republican
Peggy Noonan,Person
Paul Mango,Republican
Kent Conrad,Democrat
Lenny Curry,Republican
Dick Armey,Republican
Marsha Blackburn,Republican
Bobby Jindal,Republican
Paul Manafort,Republican
Gary Sasse,Journalist
Katrina vanden Heuvel,Person
Paul Soglin,Democrat
Zell Miller,Democrat
David Axelrod,Democrat
Mary Jordan,Person
Karl Rove,Republican
Scott Pruitt,Republican
Catherine Taylor,Republican
Rose Mary Grant,Person
Cormick Lynch,Republican
Bill Clinton,Democrat
Rob Moshein,Democrat
Lindsey Graham,Republican
EnergyCitizens.org,Organization
Chris Van Hollen,Democrat
Education Action Group,Organization
Laura Tyson,Democrat
Markos Moulitsas,Person
Bob Corker,Republican
Jonathan Turley,Person
Gail Collins,Journalist
Carl Lewis,Democrat
National Republican Congressional Committee,Organization
Robin Vos,Republican
Volusia County Republican Party,Republican
Steven King,Person
Kay Bailey Hutchison,Republican
Gregory J. Costantino,Democrat
Michelle Wolf,Person
Christine Lagarde,Republican
Arianna Huffington,Person
Paul Wolfowitz,Person
Peter Morici,Person
Andrew Gillum,Democrat
Chuck Hagel,Republican
Christina Romer,Democrat
Jeff Greene,Democrat
Al Gore,Democrat
Vincent Prieto,Democrat
William Howell,Republican
Doris Kearns Goodwin,Person
Dave Yost,Republican
Scott Brown,Republican
Gary Johnson,Political
Scott DesJarlais,Republican
Chris Gregoire,Democrat
Steve Case,Political
Richard Licht,Democrat
Tim Murphy,Republican
Kevin O'Toole,Republican
Bob Seger,Person
Jerry Patterson,Republican
Sal Albanese,Democrat
Arnold Schwarzenegger,Republican
Arne Duncan,Democrat
Chris Coons,Democrat
Chris Wallace,Person
Trey Gowdy,Republican
Deval Patrick,Democrat
Stephen Hayes,Person
Abel Collins,Political
Michael Riley,Republican
Marc Morial,Democrat
Robin Wright,Person
Joe Walsh,Republican
Lou Greenwald,Democrat
Charlie Hales,Democrat
Jay Inslee,Democrat
Kurt Schaefer,Republican
Carl Paladino,Republican
Edward Markey,Democrat
Alex Mooney,Republican
Julián Castro,Democrat
Caroline Casagrande,Republican
Gene Sperling,Democrat
Kurt Schrader,Democrat
Jim Taricani,Journalist
Craig Thompson,Person
Kelly Ayotte,Republican
Teresa Ghilarducci,Person
James Lankford,Republican
Mike Lee,Republican
Brian Robinson,Republican
Ben Cardin,Democrat
David Plouffe,Democrat
Robert Barber,Journalist
Bill Gates,Person
Wesley Clark,Democrat
Steve McQueen,Person
Rex Tillerson,Person
World Food Program,Organization
Dave Weldon,Republican
Clay Pell,Democrat
Mike Mullen,Person
Bob Graham,Democrat
Kamala Harris,Democrat
Dorothy Brown,Democrat
Lamar McKay,Organization
Joe Straus,Republican
Colin Powell,Republican
Chris Dodd,Democrat
Jeff Brandes,Republican
Jamie Oliver,Person
Steve Southerland,Republican
Jeff Kottkamp,Republican
Shaun Donovan,Democrat
Dan Gelber,Democrat
Kelli Ward,Republican
Tavis Smiley,Person
Chuck Todd,Person
Raul Labrador,Republican
Jim Doyle,Democrat
Kirsten Powers,Democrat
Donald Trump Jr.,Republican
Jim Sensenbrenner,Republican
Jack Reed,Democrat
Terry Katsma,Republican
Gordon Hintz,Democrat
Carl Levin,Democrat
Frederica Wilson,Democrat
Claire McCaskill,Democrat
Lee Camp,Person
Mike Collier,Democrat
Jim Webb,Democrat
Ken Paxton,Republican
John Kennedy,Democrat
Josh Fox,Person
Ross Douthat,Person
John McKeon,Democrat
Stephanie Cutter,Democrat
Susana Mendoza,Democrat
Bob Barr,Political
Laura Ingraham,Republican
New Hampshire Democratic Party,Democrat
MoveOn.org,Organization
Henry Kissinger,Republican
Joe Leibham,Republican
Greg Gutfeld,Political
West Virginia Republican Party,Republican
David Rible,Republican
Pat McCrory,Republican
Dan Kaufman,Person
Michael Steele,Republican
Corey Stewart,Republican
Stacey Evans,Democrat
Don Lemon,Journalist
Thomas Lindsay,Person
Ruben Hinojosa,Democrat
Florida Conservation Alliance,Organization
Susan Collins,Republican
Gwen Moore,Democrat
A.J. Jacobs,Person
Jack Conners,Person
Ian Bremmer,Person
Jeff Weems,Democrat
Patrick Morrisey,Republican
James Crowley,Journalist
Michael Moore,Person
Jody Conradt,Person
Jim Moran,Democrat
Bob Latta,Republican
Thomas Perez,Democrat
Mike DeWine,Republican
The Associated Press,Organization
Jeff Tittel,Person
Nan Rich,Democrat
Association of Mature American Citizens,Organization
Shirley Franklin,Democrat
Brian Kolb,Republican
Tim Canova,Democrat
Cathie Adams,Republican
Carlos Lopez-Cantera,Republican
Beto O'Rourke,Democrat
Matt Flynn,Person
Leon Young,Democrat
Jenna Fischer,Person
Carlos Beruff,Republican
Al Jazeera America,Organization
Paul Stekler,Person
John Wisniewski,Democrat
"Kernan """"Kerry"""" King",Republican
Rhode Island Center for Freedom and Prosperity,Organization
John Cox,Republican
Terri Lynn Land,Republican
Rob Wittman,Republican
Susan Stimpson,Republican
Rick Kriseman,Democrat
Brent Barton,Democrat
Adam Putnam,Republican
AFSCME,Organization
Keith Stokes,Person
New Jersey Democratic State Committee,Democrat
Bill Richardson,Democrat
Jeanine Pirro,Republican
Dan Ramos,Democrat
John Calipari,Person
E.W. Jackson,Republican
Armond Budish,Democrat
Lee Leffingwell,Democrat
Mike Villarreal,Democrat
Mark Harris,Democrat
Wes Riddle,Republican
Eva Longoria,Person
Babur Lateef,Democrat
Angela Bean,Republican
Jefferson Smith,Democrat
Sally Bethea,Person
Peter Barca,Democrat
Suzanne Bonamici,Democrat
Debra Medina,Republican
Victoria Jackson,Republican
C.W. Bill Young,Republican
Sylvester Turner,Democrat
Talgo Inc.,Organization
Bono,Person
Marie Ghazal,Journalist
Kasim Reed,Democrat
Matt Patten,Democrat
Gary Kelly,Person
Penny Pritzker,Democrat
Hillsborough Area Regional Transit,Organization
Vicky Hartzler,Republican
Chris Collins,Republican
Tom Kean Jr.,Republican
Steve LaTourette,Republican
Raymond Lesniak,Democrat
Robert Menendez,Democrat
Lois Frankel,Democrat
Joseph Trillo,Republican
Republican Party of Texas,Republican
Kinky Friedman,Democrat
Friends of India Point Park,Organization
Hank Johnson,Democrat
Barbara Buono,Democrat
Todd Wilcox,Republican
Americans for Prosperity,Organization
Jay Carney,Democrat
John Charles,Political
Defenders of Wildlife Action Fund,Organization
Kellyanne Conway,Republican
Meg Whitman,Republican
Andy Duyck,Person
Eugene McKenna,Journalist
Johnny Isakson,Republican
Georgia State Road and Tollway Authority,Organization
Matt Adamczyk,Republican
Thom Hartmann,Person
Luis Alejo,Democrat
Michael Burgess,Republican
Joe Garcia,Democrat
Anitere Flores,Republican
Jonathan Boucher,Democrat
Dick Morris,Person
Barry DuVal,Organization
Katrina Shankland,Democrat
Tom Barrett,Democrat
Penny Bernard Schaber,Democrat
Tim Sheehy,Person
Wisconsin Department of Transportation,Organization
Bobby Scott,Democrat
Jesse Ventura,Political
Sheila Harsdorf,Republican
Allen Andrews,Republican
Grover Fugate,Democrat
George Takei,Person
Rodney Frelinghuysen,Republican
Barbara Sharief,Democrat
Martavius Jones,Democrat
Mike Prendergast,Republican
Anita Perry,Republican
Lee Holloway,Person
Mike Haridopolos,Republican
John Loughlin,Republican
Jon Bramnick,Republican
Tom Graves,Republican
David Alameel,Democrat
Heather Fiorentino,Republican
Celia Israel,Democrat
Franklin Sands,Democrat
Glenford Shibley,Republican
Roy Barnes,Democrat
Empower Texans,Organization
Trent Franks,Republican
Rodney Ellis,Democrat
Starbucks,Organization
Stephen Fincher,Republican
Andy Berke,Democrat
Jacqueline Collins,Democrat
Rob Astorino,Republican
Patrick Kennedy,Democrat
Charles Perry,Republican
Oregon Education Association,Organization
Virginia Education Association,Organization
Earl Blumenauer,Democrat
Bob Goodlatte,Republican
Laurence Tribe,Person
Dan Gecker,Democrat
Ocean State Policy Research Institute,Organization
Thomas Sgouros Jr.,Journalist
Lainey Melnick,Democrat
Joseph Crowley,Democrat
Paul Sadler,Democrat
Shelly Moore,Democrat
Ann Marie Buerkle,Republican
Ryan Zinke,Republican
Robert Duffy,Democrat
Mike Dovilla,Republican
Ben Affleck,Democrat
Scott Suder,Republican
Sam Adams,Democrat
Bob Buckhorn,Democrat
Ken Mercer,Republican
Organizing for Action,Democrat
Donna Nesselbush,Democrat
Becky Moeller,Democrat
Kay Hagan,Democrat
Kevin Nicholson,Person
Americans United for Change,Organization
Ted Kanavas,Republican
Bill Haslam,Republican
Michael Chippendale,Republican
Pete Sessions,Republican
Ohio Republican Party,Republican
Gene McIntyre,Organization
Diane Black,Republican
Eva Marie Mancuso,Person
Kevin Cramer,Republican
Rhode Island Retirement Security Coalition,Organization
Rana Foroohar,Person
Roman McAllen,Democrat
Anthony Brindisi,Democrat
Andrew White,Democrat
Democratic Governors Association,Organization
Nicholas Kettle,Republican
Kim Simac,Republican
Jerry Jones,Person
Ted Lieu,Democrat
AFSCME People,Organization
Stephen Laffey,Republican
"Our City, Our Safety, Our Choice",Organization
Todd Starnes,Person
BikePortland.org,Organization
Larry Kilgore,Republican
Don Gaetz,Republican
Charlie Justice,Person
Chris Abele,Democrat
Bob Casey,Democrat
Gerard Robinson,Republican
Carlos Curbelo,Republican
Steve Moore,Person
John Taylor,Republican
Jeff Merkley,Democrat
John Oxendine,Republican
Duane Hall,Democrat
Rhode Island Tea Party,Organization
Foundation for Florida's Future,Republican
William Barber,Person
" Red, White and Blue Fund",Organization
U.S. Chamber of Commerce,Organization
James Durkan,Republican
James Tedisco,Republican
Dave Hansen,Democrat
Gene Green,Democrat
Alan Simpson,Republican
Kip Kendrick,Democrat
Erick Erickson,Person
Alexi Giannoulias,Democrat
Frank Wolf,Republican
Paul Broun,Republican
Scott Hochberg,Democrat
Presente.org,Organization
Alan Krueger,Democrat
Bill Proctor,Republican
Beverly Hall,Person
Sly James,Political
Carlos Trujillo,Republican
Larry Kudlow,Republican
Florida Chamber of Commerce,Organization
Cynthia Lummis,Republican
Michael Long,Person
Bill de Blasio,Democrat
Christopher Peace,Republican
Mary Nolan,Democrat
Mayors Against Illegal Guns,Organization
Melissa Melendez,Republican
Alisha Thomas Morgan,Democrat
Georgia Department of Economic Development,Organization
Oregon Senate Republicans (The Leadership Fund),Organization
Texas Campaign for the Environment,Organization
Mike Huebsch,Republican
Jacky Rosen,Democrat
JB Pritzker,Democrat
Mike Romano,Democrat
Amanda Fritz,Democrat
Tom Toles,Person
Melvin Sickler,Organization
Maurice Ferre,Democrat
Providence City Council,Organization
Bob Beckel,Democrat
Michael Thurmond,Democrat
Marina Dimitrijevic,Person
Mike Bodker,Person
Jeff Flake,Republican
Carolyn Maloney,Democrat
Greg Morris,Person
Michael Rosen,Person
Nancy Jester,Person
Robert DiMuccio,Journalist
American Bridge 21st Century,Organization
Jennifer Beck,Person
Paul Babeu,Republican
Anna Kooiman,Person
Keep Conservatives United,Republican
Randy Neugebauer,Republican
Nicholas Kristof,Person
Ilhan Omar,Person
Kathleen Ford,Democrat
Ronald Rice,Democrat
Great America PAC,Organization
Gavin Newsom,Democrat
Evan Bayh,Democrat
Mike Martinez,Democrat
Rick Baker,Person
Bruce Starr,Republican
The Commonwealth Institute,Organization
Maxey Scherr,Democrat
Louise Slaughter,Democrat
Janet Mitchell,Person
John Tassoni Jr.,Democrat
Jeb Hensarling,Republican
Ben Sasse,Republican
Dan Coats,Republican
Ted Nugent,Republican
Steve Brown,Republican
Kathy Hochul,Democrat
Janet Bewley,Democrat
Bob Marshall,Republican
Patrick McKenna,Person
Brad Schneider,Democrat
National Taxpayers Union,Organization
John Humphries,Person
Peter DeFazio,Democrat
Dana Young,Republican
Grover Norquist,Republican
Betty Sutton,Democrat
Jeanne Ives,Republican
Tom Nelson,Democrat
Joe Lieberman,Political
Wisconsin Professional Police Association,Organization
Kevin Boyce,Democrat
Stacey Campfield,Republican
Mark Sanford,Republican
Vernon Jones,Democrat
Lynn Westmoreland,Republican
Pete Buttigieg,Democrat
Michael Sullivan,Republican
Roman Prezioso,Democrat
Jack Ohman,Person
Tom DeLay,Republican
David McKinley,Republican
Amalgamated Transit Union,Organization
Mark Begich,Democrat
Michael Reagan,Republican
Ramey Ko,Democrat
Luis Gutierrez,Democrat
Harold Metts,Democrat
Connie Mack,Republican
Saxby Chambliss,Republican
Joe Barton,Republican
Tobias Read,Democrat
National Association of Manufacturers,Organization
Matt Gaetz,Republican
Peter Kinder,Republican
Michael Roberson,Republican
Pat Carlson,Republican
Mark Critz,Democrat
Tom Pauken,Republican
Oklahoma Council of Public Affairs,Organization
Hagar Chemali,Person
Jim Steineke,Republican
Erika Sanzi,Person
John Mica,Republican
Joe Cunningham,Democrat
Bill Seitz,Republican
David Perdue,Republican
Glenn Nye,Democrat
Unite Here Florida PAC,Organization
Virginia Senate Democratic Caucus,Democrat
Will Weatherford,Republican
Don Beyer,Democrat
Thomas Croci,Republican
Ovide Lamontagne,Republican
Tammy Duckworth,Democrat
National Education Association,Organization
Joseph Kyrillos,Republican
Corrine Brown,Democrat
Scott Perry,Republican
Jesse Kremer,Person
