feature;mi_score
his presidency;0.0024925404067880214
houston;0.0024925404067880214
in paris;0.0024925404067880214
interrogation;0.0024925404067880214
knew;0.0024925404067880214
mexican;0.0024925404067880214
mexico border;0.0024925404067880214
obama began;0.0024925404067880214
obama began his;0.0024925404067880214
of any;0.0024925404067880214
pershing;0.0024925404067880214
powerful;0.0024925404067880214
rick;0.0024925404067880214
rick perry;0.0024925404067880214
signs;0.0024925404067880214
swapped;0.0024925404067880214
swapped for;0.0024925404067880214
swapped for bowe;0.0024925404067880214
the navy;0.0024925404067880214
they do;0.0024925404067880214
they do not;0.0024925404067880214
tiny;0.0024925404067880214
to begin;0.0024925404067880214
to people;0.0024925404067880214
turkey;0.0024925404067880214
tweeted;0.0024925404067880214
we are the;0.0024925404067880214
week;0.0024925404067880214
not;0.0024862204844224474
we have;0.0024717100952904372
very;0.002468565085557127
spent;0.002460814087068201
phone;0.002459726199713295
responsible;0.0024567135433083993
pentagon;0.002441249049678523
calls;0.002429195919230718
different;0.002429195919230718
nearly;0.002429195919230718
the number of;0.002429195919230718
the senate;0.002429195919230718
and said;0.0024239409371749968
the number;0.0024239409371749968
flag;0.0024190256710105024
before;0.002414507516993132
repeated;0.002405800695096657
the you;0.002405800695096657
we will;0.002405070414177181
torture;0.0023888857947526702
take;0.002388184381884843
department of;0.002384608802928515
million people;0.002384608802928515
twice;0.002384608802928515
was;0.0023806485427824787
would;0.0023698797778460784
where;0.002363926863806427
then;0.0023389405472966137
he is;0.0023210140854458706
side;0.0023181461731893484
times;0.0023119997905992513
donald;0.0023107058828553857
donald trump;0.0023107058828553857
reagan;0.0022963962996884763
lives;0.002282404853417864
attacks on;0.002273280096558537
provided;0.002273280096558537
would not;0.002273280096558537
john mccain;0.002271023912276465
10 years;0.0022665978634176234
this country;0.002262540834415242
and the;0.002257858504301215
tax;0.0022562188403394768
apologized;0.0022511084533278726
apologized for;0.0022511084533278726
leave;0.0022511084533278726
not know;0.0022511084533278726
trip;0.0022511084533278726
what was;0.0022511084533278726
talking;0.0022317698025819625
korean;0.0022292179467012186
lower;0.0022292179467012186
opposed the;0.0022292179467012186
over;0.002228345878125675
black;0.002226248634615736
request;0.002226248634615736
texas;0.0022166268325976846
the iran;0.0022166268325976846
under the;0.0022166268325976846
have;0.002211892482507265
30;0.0021926028378235676
are now;0.002188052302955856
dallas;0.002188052302955856
fellow;0.002188052302955856
florida;0.002188052302955856
isis or;0.002188052302955856
of president;0.002188052302955856
others;0.002188052302955856
repeated requests;0.002188052302955856
sen mccain;0.002188052302955856
states navy;0.002188052302955856
they had;0.002188052302955856
to foreign;0.002188052302955856
united states navy;0.002188052302955856
continue;0.002184578925541007
smaller;0.002184578925541007
test;0.002184578925541007
that many;0.002184578925541007
the union;0.002184578925541007
10000;0.002182962849556734
16;0.002182962849556734
20 percent;0.002182962849556734
21;0.002182962849556734
24;0.002182962849556734
active;0.002182962849556734
as many;0.002182962849556734
civil;0.002182962849556734
countries that;0.002182962849556734
donald trump has;0.002182962849556734
sanctions against iran;0.002182962849556734
the country;0.002182962849556734
the defense;0.002182962849556734
the russians;0.002182962849556734
the trump;0.002182962849556734
trump has;0.002182962849556734
trump said;0.002182962849556734
twice as;0.002182962849556734
we are in;0.002182962849556734
allowed to;0.0021829628495567324
decade;0.0021829628495567324
putting;0.0021829628495567324
matter;0.002165160242714289
the words;0.002165160242714289
three years;0.002165160242714289
